molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
CHEMBL2031870,0,1,0,0,0,6,0,1,405.539,7.194,792.685,491.932,81.370,219.383,0.000,1405.959,1.000,7.500,0.0368142,0.0094615,0.7656777,48.355,13.843,21.582,11.201,4.102,-5.659,-4.276,-7.096,417.993,-0.325,213.186,-3.733,9.227,0.845,2,0.664,3,100.000,0.000,0.000,70.374,5,0,21,0,21,6,30,0,0.000
CHEMBL2031871,0,1,0,0,0,6,0,1,403.523,7.310,790.891,479.044,92.381,219.465,0.000,1388.226,1.000,7.500,0.0384889,0.0094830,0.7609487,47.646,13.780,21.383,11.272,3.911,-5.628,-4.041,-7.173,328.662,-0.463,164.397,-3.936,9.227,0.877,2,0.614,3,94.889,0.000,0.000,71.330,5,0,24,3,21,9,30,0,0.000
CHEMBL2031872,0,1,0,0,0,6,0,1,417.550,1.670,777.560,482.604,79.597,215.359,0.000,1408.037,1.000,7.500,0.0019814,0.0096456,0.7813404,48.400,13.732,21.185,11.125,4.131,-5.391,-4.259,-6.823,434.491,-0.269,222.295,-3.714,9.120,0.785,2,0.678,3,100.000,0.000,0.000,68.972,5,0,25,4,21,10,31,0,0.000
CHEMBL2031873,0,1,0,0,0,6,0,1,431.577,7.183,807.910,511.101,78.660,218.148,0.000,1461.977,1.000,7.500,0.0352892,0.0092832,0.7710736,50.585,14.310,22.372,11.211,4.476,-5.930,-4.777,-7.003,443.470,-0.282,227.264,-3.687,9.135,0.755,2,0.819,3,100.000,0.000,0.000,68.773,5,0,26,0,26,11,32,1,0.000
CHEMBL2031874,0,1,0,0,0,5,0,1,391.512,4.712,754.462,466.873,81.156,206.433,0.000,1339.490,0.000,8.000,0.0165741,0.0000000,0.7789103,46.213,12.817,19.429,10.268,3.291,-4.292,-3.499,-6.820,419.954,-0.231,214.267,-3.871,9.197,0.799,2,0.154,3,93.165,0.000,0.000,63.661,5,0,21,0,21,6,29,0,0.003
CHEMBL2031875,0,1,0,0,0,5,0,1,417.550,6.774,768.965,485.969,77.916,205.080,0.000,1388.806,0.000,8.000,0.0330425,0.0000000,0.7828634,48.174,13.233,20.357,10.272,3.634,-4.567,-4.092,-6.750,450.732,-0.187,231.290,-3.816,9.216,0.784,2,0.297,3,95.721,0.000,0.000,62.558,5,0,26,0,26,10,31,0,0.002
CHEMBL2031876,0,1,0,0,0,5,0,1,431.577,8.023,792.180,516.484,68.060,207.636,0.000,1446.426,0.000,8.000,0.0445043,0.0000000,0.7807979,50.504,13.730,21.294,10.278,4.081,-5.007,-4.390,-6.795,558.970,-0.084,291.868,-3.625,9.108,0.687,2,0.465,3,100.000,0.000,0.000,60.526,5,0,26,0,26,10,32,0,0.001
CHEMBL2031877,0,1,0,0,0,5,0,1,431.577,7.684,806.414,535.153,65.834,205.427,0.000,1464.526,0.000,8.000,0.0403209,0.0000000,0.7734016,51.208,13.911,21.437,10.282,4.212,-5.276,-4.390,-6.904,586.806,-0.073,307.610,-3.592,9.106,0.698,2,0.517,3,100.000,0.000,0.000,60.381,5,0,26,0,26,10,32,0,0.001
CHEMBL2031878,0,1,0,0,0,5,0,1,435.540,7.874,795.895,501.618,80.259,181.031,32.987,1426.835,0.000,8.000,0.0434573,0.0000000,0.7701198,49.466,13.294,21.037,10.200,3.963,-5.221,-4.474,-6.841,428.257,-0.161,331.780,-3.944,9.216,0.892,2,0.408,3,100.000,32.987,0.000,64.132,5,0,26,0,26,10,32,0,0.000
CHEMBL2031879,0,1,0,0,0,5,0,1,435.540,9.180,797.896,503.284,77.874,179.313,37.425,1427.237,0.000,8.000,0.0590506,0.0000000,0.7683329,49.466,13.251,21.249,10.179,3.997,-5.278,-4.474,-6.862,451.149,-0.127,371.198,-3.906,9.267,0.973,2,0.409,3,100.000,37.425,0.000,63.353,5,0,26,0,26,10,32,0,0.000
CHEMBL2031880,0,1,0,0,0,5,0,1,451.995,9.294,811.155,502.895,74.764,174.098,59.399,1452.144,0.000,8.000,0.0594832,0.0000000,0.7645411,50.413,14.115,21.660,10.162,4.259,-5.625,-4.824,-6.898,482.855,-0.046,527.062,-3.867,9.238,0.887,2,0.481,3,100.000,0.000,0.000,62.465,5,0,26,0,26,10,32,0,0.000
CHEMBL2031881,0,1,0,0,0,5,0,1,395.476,5.832,717.984,397.454,91.958,195.399,33.173,1284.795,1.000,7.500,0.0264740,0.0104459,0.7960487,43.919,12.245,20.209,11.162,3.380,-4.650,-4.074,-6.490,331.712,-0.225,252.319,-4.109,9.177,0.888,2,0.398,3,91.853,33.173,0.000,71.693,5,0,21,0,21,6,29,0,0.001
CHEMBL2031882,0,1,0,0,0,5,0,1,409.502,7.283,736.206,447.218,75.139,180.765,33.084,1336.414,0.000,8.000,0.0396917,0.0000000,0.7970028,45.845,12.279,19.793,10.020,3.409,-4.090,-3.881,-6.405,478.912,-0.047,374.850,-3.850,9.164,0.816,2,0.145,3,94.876,33.084,0.000,62.287,5,0,21,0,21,6,30,0,0.005
CHEMBL2031883,0,1,0,0,0,5,0,1,391.512,9.499,728.938,421.270,88.143,219.524,0.000,1314.882,1.000,7.500,0.0686182,0.0102889,0.7962804,45.354,12.886,21.155,11.315,3.497,-4.697,-3.995,-6.601,360.528,-0.266,181.691,-3.953,9.122,0.782,2,0.478,3,93.188,0.000,0.000,70.910,5,0,21,0,21,6,29,0,0.001
CHEMBL2031884,0,1,0,0,0,6,0,1,405.539,6.164,782.584,476.440,83.684,222.460,0.000,1394.833,1.000,7.500,0.0272409,0.0095836,0.7714641,47.939,13.740,21.348,11.213,4.022,-5.480,-4.276,-7.017,397.399,-0.337,201.856,-3.765,9.188,0.856,2,0.637,3,100.000,0.000,0.000,70.954,5,0,21,0,21,6,30,0,0.000
CHEMBL2031885,0,1,0,0,0,5,0,1,431.577,6.571,816.171,530.004,78.004,208.162,0.000,1465.372,0.000,8.000,0.0294651,0.0000000,0.7644503,51.268,14.085,21.327,10.407,4.136,-5.461,-4.390,-7.062,449.870,-0.229,230.812,-3.806,9.193,0.782,2,0.520,3,100.000,0.000,0.000,63.031,5,0,26,0,26,10,32,0,0.000
CHEMBL2031760,0,1,0,0,0,4,0,2,352.451,3.816,675.665,344.886,36.051,247.658,47.071,1190.610,0.000,5.000,0.0122291,0.0000000,0.8040443,41.291,10.988,16.206,7.334,4.321,-4.738,-4.060,-6.610,1124.429,0.465,1124.955,-2.990,9.201,0.800,2,0.567,3,100.000,47.071,0.000,33.438,3,0,21,0,21,6,26,0,0.007
