molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
CHEMBL12713,1,1,0,0,0,3,0,1,440.947,7.294,761.664,293.212,83.169,266.744,118.538,1357.996,1.000,4.000,0.0391812,0.0052517,0.7786351,48.814,13.861,20.711,8.717,5.802,-7.488,-6.655,-7.112,401.892,0.158,911.323,-3.887,8.287,0.737,2,1.406,1,94.566,47.013,0.000,53.329,5,1,26,0,26,7,31,1,0.000
CHEMBL1108,0,1,0,0,0,5,0,1,379.433,5.335,688.755,177.594,125.727,338.396,47.039,1213.372,1.000,6.000,0.0234580,0.0087114,0.7987846,42.426,12.714,19.294,10.822,3.501,-4.768,-4.546,-7.128,158.684,-0.538,135.450,-4.227,8.729,0.849,4,0.516,3,86.833,47.039,0.000,77.075,5,0,21,0,21,3,28,0,0.000
CHEMBL2368925,0,1,0,0,0,2,1,1,324.379,4.883,586.577,257.421,112.191,216.965,0.000,1029.591,0.000,5.000,0.0231582,0.0000000,0.8406521,35.838,10.085,14.703,7.854,2.528,-3.170,-3.210,-5.871,213.250,-0.217,103.000,-4.693,8.605,0.334,2,0.184,3,83.429,0.000,0.000,75.722,5,0,20,0,20,9,24,0,0.004
CHEMBL6966,0,1,0,0,0,14,0,1,454.608,6.826,678.150,557.072,36.750,84.328,0.000,1416.270,0.000,6.500,0.0328995,0.0000000,0.8993662,42.341,12.123,17.312,5.489,4.027,-4.280,-6.384,-4.289,1107.391,-0.185,611.102,-2.618,8.388,-0.121,6,0.396,3,100.000,0.000,0.000,51.629,6,0,12,0,12,0,33,0,0.747
CHEMBL1107,3,1,0,0,0,11,0,2,500.430,1.992,801.252,373.323,13.430,164.009,250.490,1471.548,1.000,3.700,0.0026955,0.0046178,0.7808701,47.241,13.670,19.421,5.625,7.526,-7.605,-7.751,-6.586,1842.638,0.767,10000.000,-2.196,8.868,1.494,2,1.449,1,100.000,117.620,0.000,20.369,2,2,14,0,14,0,33,1,0.000
CHEMBL998,1,0,0,0,0,1,0,1,382.889,2.844,682.131,327.248,58.342,224.927,71.613,1224.661,0.000,3.500,0.0066049,0.0000000,0.8115367,44.363,12.109,16.733,6.540,5.208,-7.460,-6.271,-5.654,2771.014,0.088,3673.559,-1.706,9.136,0.427,5,1.194,1,100.000,0.000,0.000,45.664,4,1,21,0,18,6,27,1,0.000
CHEMBL370805,0,1,0,0,0,3,2,1,303.357,3.276,578.237,321.315,66.550,190.372,0.000,1014.488,0.000,6.000,0.0105784,0.0000000,0.8444171,34.338,9.439,14.251,8.106,2.299,-2.232,-2.070,-5.684,577.702,0.159,302.454,-3.850,9.512,0.380,2,-0.169,3,89.838,0.000,0.000,70.053,5,0,14,0,14,7,22,0,0.203
CHEMBL708,0,1,0,0,0,3,0,1,412.936,5.155,700.050,231.735,112.512,251.158,104.646,1236.191,1.000,6.000,0.0214960,0.0085708,0.7957187,43.791,13.274,19.884,10.627,3.906,-5.545,-5.276,-6.761,211.761,-0.147,382.647,-4.483,8.533,0.876,3,0.661,3,91.444,0.000,0.000,67.357,5,0,24,0,24,5,28,0,0.000
CHEMBL472,3,0,0,0,1,8,0,-2,494.004,12.668,860.828,399.162,168.706,219.514,73.446,1513.685,2.000,6.750,0.1060233,0.0110893,0.7406372,51.383,16.433,25.266,13.353,4.519,-4.823,-6.544,-5.401,190.404,-1.789,277.909,-3.087,9.219,0.779,2,0.657,3,94.209,0.000,14.621,130.491,8,0,18,0,18,6,33,0,0.000
CHEMBL45816,0,1,0,0,0,11,1,1,495.636,5.386,808.994,431.082,57.299,273.606,47.008,1562.377,1.000,7.200,0.0185669,0.0088999,0.8049028,51.922,14.952,22.710,10.063,5.653,-5.460,-6.241,-6.720,707.028,-0.175,680.765,-2.618,8.647,0.210,6,0.962,3,100.000,47.008,0.000,65.607,6,1,19,0,19,4,36,0,0.004
CHEMBL192,0,1,0,0,0,7,0,-2,474.577,7.766,745.901,504.926,167.408,73.159,0.409,1421.888,1.000,11.750,0.0424140,0.0157528,0.8198365,46.954,13.320,23.888,14.645,1.650,-3.015,-4.054,-5.522,63.866,-1.119,28.126,-5.738,8.961,1.074,3,-0.196,3,68.916,0.000,0.000,119.454,10,0,21,0,21,4,33,0,0.001
CHEMBL32,0,1,0,1,0,2,0,0,401.437,10.076,652.096,403.079,166.459,58.296,24.262,1192.676,1.000,6.750,0.0851310,0.0103512,0.8340688,40.849,10.951,19.865,10.498,1.072,-4.872,-4.117,-3.414,16.515,-0.694,11.202,-6.253,8.820,0.923,1,0.293,2,55.017,24.262,0.000,101.692,7,0,22,3,19,10,29,1,0.000
CHEMBL629,3,1,0,0,0,3,0,2,277.408,0.786,584.426,275.682,6.614,302.130,0.000,1023.831,0.000,2.000,0.0006028,0.0000000,0.8405970,35.779,9.885,12.333,4.534,5.034,-4.466,-3.578,-6.278,2138.358,0.719,1244.537,-2.352,8.975,0.082,4,0.928,3,100.000,0.000,0.000,6.104,1,1,15,0,12,2,21,0,0.036
CHEMBL31,0,1,0,1,0,2,0,0,375.399,10.946,613.807,364.454,165.703,54.711,28.939,1123.126,1.000,6.750,0.1066722,0.0109969,0.8513052,38.032,10.263,19.228,10.378,0.665,-4.258,-3.607,-3.118,16.790,-0.612,12.097,-6.251,8.770,0.885,1,0.119,2,52.767,28.939,0.000,99.584,7,0,19,3,16,7,27,1,0.000
CHEMBL1008,1,1,0,0,0,10,0,1,366.545,1.032,714.938,394.243,2.960,317.735,0.000,1320.983,0.000,4.700,0.0008069,0.0000000,0.8143824,43.325,12.759,16.201,6.045,5.449,-4.457,-4.389,-6.777,2315.972,0.330,1356.635,-1.557,8.328,-0.175,5,0.771,3,100.000,0.000,0.000,13.825,3,1,17,0,17,4,27,0,0.355
CHEMBL473,0,1,0,0,0,11,0,-2,441.559,5.790,787.472,360.226,189.456,236.911,0.879,1399.270,2.000,11.750,0.0239566,0.0211017,0.7683002,45.044,14.882,24.408,16.591,1.481,-3.287,-3.183,-7.137,39.463,-1.839,16.815,-5.183,8.427,0.796,3,-0.384,3,64.183,0.000,0.000,112.961,8,0,12,0,12,0,29,0,0.001
CHEMBL583,0,1,0,1,0,1,0,0,359.399,7.758,630.132,414.202,153.810,44.467,17.653,1117.873,1.000,6.000,0.0538404,0.0095218,0.8266633,38.366,10.101,18.025,9.745,0.765,-4.582,-3.583,-3.467,21.768,-0.556,13.891,-6.164,8.783,0.800,1,0.283,2,55.368,17.653,0.000,94.197,6,0,19,3,16,7,26,1,0.000
CHEMBL296419,2,1,0,0,0,8,0,1,458.577,4.497,796.000,315.377,15.232,418.366,47.025,1470.147,1.000,4.750,0.0137549,0.0059673,0.7855237,51.540,14.957,21.180,8.979,6.575,-6.692,-6.903,-7.724,1771.541,0.431,1837.673,-1.621,8.101,0.506,4,1.350,1,100.000,47.025,0.000,35.748,5,1,27,0,27,5,34,1,0.002
CHEMBL54,0,1,0,0,0,6,0,1,375.870,4.835,685.199,204.896,73.387,288.190,118.727,1197.946,1.000,4.750,0.0195107,0.0069323,0.7961100,40.687,12.352,17.922,8.689,4.303,-4.500,-4.663,-6.932,497.592,0.120,1150.724,-3.343,9.298,0.888,3,0.686,3,100.000,47.039,0.000,51.017,3,0,18,0,18,5,26,0,0.001
CHEMBL61301,0,1,0,0,0,4,0,1,324.400,4.738,587.344,211.078,43.212,286.029,47.025,1057.232,2.000,3.500,0.0212349,0.0084273,0.8545140,36.320,10.533,16.936,8.883,3.950,-3.888,-4.188,-5.976,961.665,0.442,949.477,-2.987,8.129,0.521,1,0.577,3,100.000,47.025,0.000,38.403,4,0,21,0,21,5,24,0,0.043
CHEMBL17157,3,1,0,0,0,11,0,1,471.681,3.073,882.194,395.090,65.934,421.170,0.000,1626.335,2.000,4.450,0.0058059,0.0071336,0.7581256,55.891,17.506,23.718,10.042,6.965,-6.203,-7.008,-8.180,585.532,-0.466,306.888,-2.257,9.084,-0.009,5,1.622,1,100.000,0.000,0.000,42.216,3,1,24,0,24,5,35,1,0.000
CHEMBL289469,0,1,0,0,0,2,0,1,312.414,4.161,608.622,382.638,57.440,168.544,0.000,1059.648,1.000,5.500,0.0163363,0.0090368,0.8258955,36.578,9.849,16.198,9.162,2.540,-3.827,-2.895,-5.879,704.847,0.280,375.006,-3.855,8.649,0.479,1,0.345,3,92.795,0.000,0.000,57.540,5,0,18,0,18,8,23,0,0.006
CHEMBL75880,4,1,0,0,0,4,0,2,277.492,1.081,580.597,569.425,11.172,0.000,0.000,1053.701,1.000,1.500,0.0011083,0.0025835,0.8625185,33.447,8.357,12.290,3.252,4.649,-4.420,-3.126,-4.483,1935.760,0.621,1117.589,-3.404,9.068,-2.750,0,1.033,3,100.000,0.000,0.000,11.983,1,0,18,0,18,17,20,0,0.004
CHEMBL1423,3,1,0,0,0,6,0,1,461.553,7.025,796.066,198.612,71.679,431.706,94.070,1454.817,1.000,4.000,0.0339264,0.0050247,0.7799890,52.338,15.034,21.900,9.173,6.603,-7.523,-7.272,-7.877,516.498,0.046,877.817,-2.806,8.712,0.208,2,1.550,1,100.000,94.070,0.000,48.663,4,1,27,0,27,5,34,1,0.000
CHEMBL42,0,1,0,0,0,0,0,2,326.828,5.348,585.877,216.627,30.511,267.133,71.607,1030.834,1.000,4.000,0.0277438,0.0068274,0.8423339,37.651,10.611,16.420,8.583,3.378,-4.599,-4.024,-6.083,1269.021,0.851,1747.146,-3.203,8.092,0.667,3,0.652,3,100.000,0.000,0.000,36.503,4,0,21,0,18,4,23,0,0.005
CHEMBL1729,0,1,0,0,0,10,0,0,465.951,5.966,816.488,377.843,90.371,234.790,113.484,1446.398,2.500,8.700,0.0246075,0.0168477,0.7575427,47.552,14.960,24.431,13.961,4.048,-5.462,-4.849,-7.301,343.411,-0.412,721.383,-3.460,8.383,0.105,4,0.334,3,96.031,47.042,0.000,86.770,7,0,18,0,18,5,32,0,0.001
CHEMBL914,3,1,0,1,0,12,0,-2,501.664,2.884,914.783,337.695,138.540,438.547,0.000,1670.812,3.000,6.450,0.0049794,0.0122124,0.7443870,57.195,18.919,26.986,13.946,4.366,-7.683,-6.730,-6.678,30.382,-1.428,15.943,-3.438,9.258,0.105,5,1.048,1,66.085,0.000,0.000,85.989,5,1,24,0,24,5,37,1,0.000
CHEMBL327980,0,1,0,0,0,7,0,0,401.523,7.275,753.809,382.802,125.277,245.002,0.728,1318.834,1.000,9.500,0.0401267,0.0126027,0.7715501,44.471,13.468,21.582,13.330,2.427,-4.030,-3.275,-7.123,160.250,-0.861,76.331,-4.356,9.040,1.004,4,-0.030,3,80.620,0.000,0.000,91.027,6,0,18,0,18,5,28,0,0.002
CHEMBL850,0,1,0,1,0,2,0,-2,392.405,6.493,645.324,374.360,198.524,39.498,32.942,1157.962,2.000,6.000,0.0364111,0.0131489,0.8263865,39.281,10.889,19.828,11.301,0.824,-5.063,-4.199,-3.448,8.200,-1.016,5.864,-6.910,8.402,0.883,1,0.329,2,48.124,32.942,0.000,117.261,7,0,19,3,16,7,28,1,0.000
CHEMBL71,2,1,0,0,0,4,0,2,318.863,2.937,584.738,219.017,5.102,254.746,105.872,1019.375,0.000,2.500,0.0084633,0.0000000,0.8377088,34.506,10.237,12.661,4.511,5.118,-4.882,-4.476,-6.099,2210.135,0.932,4903.147,-2.395,7.737,0.449,6,0.739,3,100.000,0.000,0.000,7.842,2,1,14,0,14,0,21,0,0.034
CHEMBL219916,0,1,0,0,0,4,0,0,425.917,5.299,725.260,214.244,153.617,285.850,71.548,1290.532,2.000,6.000,0.0217598,0.0116996,0.7904070,45.655,14.336,22.049,12.436,3.898,-5.627,-5.478,-7.013,86.309,-0.743,95.537,-5.022,8.553,0.445,1,0.727,3,84.422,0.000,0.000,92.944,7,0,24,0,24,5,30,0,0.000
CHEMBL23,0,1,0,0,0,5,1,1,414.518,2.263,703.749,361.763,74.504,243.858,23.624,1297.428,0.000,8.250,0.0039461,0.0000000,0.8174660,44.887,12.687,19.232,10.610,3.075,-2.966,-3.591,-6.375,485.600,-0.025,337.713,-3.616,8.997,0.817,5,-0.035,3,93.029,0.000,0.000,71.559,6,0,17,0,12,2,29,0,0.050
CHEMBL85,0,1,0,0,0,3,0,1,410.490,5.537,696.600,420.944,83.194,145.447,47.015,1279.502,0.000,7.500,0.0239625,0.0000000,0.8182304,44.514,11.416,19.035,9.693,3.237,-3.988,-4.179,-5.893,401.674,0.068,369.496,-4.315,8.961,0.984,5,0.199,3,92.503,47.015,0.000,67.348,6,0,25,0,25,9,30,0,0.002
CHEMBL94454,0,0,0,0,0,4,0,0,432.499,3.966,684.488,221.123,100.764,323.354,39.247,1284.942,1.000,6.000,0.0122440,0.0087657,0.8350680,45.789,13.102,20.340,10.757,4.676,-6.041,-6.904,-5.743,1097.384,-0.545,897.357,-1.853,8.462,0.509,2,0.769,3,100.000,39.247,0.000,69.556,7,0,27,0,27,5,32,1,0.006
CHEMBL123558,1,2,0,0,0,8,0,1,457.959,4.529,843.064,397.194,113.578,260.607,71.685,1478.953,0.000,8.000,0.0138675,0.0000000,0.7446304,50.386,15.496,21.218,10.434,3.786,-4.576,-3.986,-8.359,51.599,-0.311,60.717,-6.052,8.718,0.994,4,0.432,3,79.768,0.000,0.000,92.889,8,0,22,0,22,5,32,0,0.000
CHEMBL479,2,1,0,0,0,4,0,2,370.570,4.004,643.182,305.276,5.052,254.496,78.359,1194.615,0.000,3.000,0.0134209,0.0000000,0.8465443,41.517,11.703,15.404,5.133,5.895,-5.787,-5.378,-5.955,2212.553,0.866,3469.507,-2.395,7.689,0.428,6,1.114,3,100.000,0.000,0.000,8.154,2,1,20,0,20,5,25,1,0.007
CHEMBL11,1,1,0,0,0,4,0,2,280.412,1.471,579.119,281.591,6.795,290.733,0.000,1018.565,0.000,2.500,0.0021253,0.0000000,0.8453888,34.817,9.768,12.251,4.717,4.421,-4.186,-3.410,-6.146,2129.933,0.658,1239.237,-2.299,8.270,-0.178,6,0.736,3,100.000,0.000,0.000,7.699,2,0,15,0,12,2,21,0,0.137
CHEMBL338109,0,1,0,0,1,5,0,0,412.490,8.626,707.619,131.464,126.874,449.282,0.000,1320.274,2.250,6.750,0.0563544,0.0143085,0.8225107,47.764,15.048,23.925,15.768,3.077,-3.876,-4.166,-5.898,104.506,-0.590,72.836,-3.858,9.130,0.766,6,0.316,3,81.099,0.000,21.422,100.947,6,0,23,0,18,1,31,0,0.008
CHEMBL16900,3,0,0,0,1,4,0,1,587.444,12.306,822.856,63.852,69.284,382.765,306.955,1513.414,0.250,5.750,0.1000693,0.0034939,0.7747232,55.500,13.696,24.794,11.745,6.963,-8.968,-9.323,-5.628,1426.885,0.306,10000.000,-1.064,9.756,1.211,4,1.087,1,100.000,306.955,23.177,74.613,5,2,23,0,18,1,41,1,0.000
CHEMBL340353,1,0,0,0,1,4,0,0,403.523,7.720,758.046,373.092,77.281,307.674,0.000,1360.868,0.250,5.750,0.0437905,0.0037926,0.7834536,48.678,13.743,20.020,10.648,4.666,-6.600,-5.083,-5.129,1315.383,-0.517,952.074,-1.476,9.253,0.776,3,0.657,1,100.000,0.000,18.090,78.768,5,0,23,0,18,7,30,1,0.003
CHEMBL332826,1,0,0,0,0,4,1,0,464.350,9.192,769.621,104.555,83.004,448.297,133.766,1372.981,0.250,5.750,0.0615436,0.0037356,0.7762430,50.506,15.867,21.793,10.380,6.004,-7.996,-7.382,-7.291,1617.242,-0.268,4495.523,-1.086,9.092,0.816,2,1.012,1,100.000,0.000,0.000,78.915,5,1,23,0,18,1,32,1,0.000
CHEMBL127701,2,0,0,0,1,4,0,0,520.337,6.715,823.599,73.878,110.478,418.703,220.540,1468.635,0.250,5.750,0.0307044,0.0034908,0.7586794,54.051,16.204,23.069,12.583,6.098,-8.452,-7.913,-6.059,533.263,-0.416,7022.893,-1.697,9.196,0.991,3,0.957,1,85.538,94.419,27.800,77.343,5,2,23,0,18,1,35,1,0.000
CHEMBL9387,2,0,0,0,1,2,0,0,398.463,7.962,731.743,176.893,94.278,460.572,0.000,1290.218,1.250,5.250,0.0491358,0.0080215,0.7832768,48.595,14.496,21.626,12.675,4.398,-6.924,-5.577,-5.861,1021.792,-0.582,637.456,-1.443,8.459,0.771,4,0.669,1,100.000,0.000,11.620,89.030,6,0,23,0,18,1,30,1,0.002
CHEMBL339327,2,0,0,0,1,4,0,1,520.337,7.673,761.359,83.121,74.664,374.187,229.388,1409.079,0.250,5.750,0.0417865,0.0037761,0.7983602,51.242,14.806,22.212,12.256,5.951,-7.176,-7.913,-5.205,1064.602,0.104,10000.000,-1.193,9.420,1.026,3,0.797,1,90.055,102.518,32.749,77.247,5,2,23,0,18,1,35,1,0.002
CHEMBL70380,2,0,0,0,1,2,0,-1,398.463,6.250,742.788,167.071,107.090,468.627,0.000,1300.223,1.250,5.250,0.0300421,0.0079022,0.7756142,49.072,14.770,21.575,13.847,4.379,-6.673,-5.577,-6.023,602.487,-0.744,471.119,-1.650,8.544,0.803,4,0.693,1,100.000,0.000,25.178,91.893,6,0,23,0,18,1,30,1,0.002
CHEMBL128007,0,1,0,0,1,7,0,1,523.461,4.145,838.918,270.841,74.825,393.988,99.264,1582.046,0.250,7.750,0.0108575,0.0046190,0.7826938,56.427,17.073,23.958,13.600,5.142,-5.516,-6.050,-6.279,280.851,-0.031,870.187,-2.901,9.246,0.789,5,0.673,2,74.957,0.000,29.493,81.923,6,2,23,0,18,1,36,0,0.002
CHEMBL443476,1,1,0,0,0,3,0,1,422.956,8.237,752.922,293.460,83.212,304.726,71.524,1342.091,1.000,4.000,0.0505558,0.0053126,0.7815132,48.540,14.269,20.609,8.938,5.565,-7.124,-6.283,-7.247,401.511,0.048,503.134,-3.754,8.173,0.473,2,1.362,1,93.175,0.000,0.000,53.308,5,1,26,0,26,7,30,1,0.000
CHEMBL53661,2,1,0,0,0,3,0,1,429.004,2.683,775.859,511.182,82.740,110.406,71.531,1396.099,1.000,4.000,0.0051576,0.0051556,0.7786214,48.846,13.421,19.779,7.668,5.687,-7.543,-6.019,-6.367,405.669,0.047,508.809,-4.430,8.211,0.033,2,1.512,1,93.965,0.000,0.000,53.039,5,1,26,0,26,13,30,1,0.000
CHEMBL299390,7,0,0,0,0,3,0,2,315.817,2.807,594.045,225.585,0.002,249.899,118.559,1039.058,0.000,0.000,0.0075812,0.0000000,0.8351649,35.889,9.805,11.844,2.228,6.819,-8.631,-6.679,-5.391,9905.680,0.674,10000.000,-0.351,8.290,0.733,1,1.507,1,100.000,47.014,0.000,2.165,1,1,15,0,15,0,22,1,0.000
CHEMBL12186,1,1,0,0,0,3,0,1,438.931,5.906,752.738,261.863,83.108,289.232,118.534,1338.100,1.000,4.000,0.0260671,0.0053139,0.7801543,48.233,13.823,20.366,8.848,5.701,-7.326,-6.743,-7.195,402.425,0.162,912.582,-3.807,8.105,0.699,3,1.351,1,93.989,47.014,0.000,53.174,5,1,26,0,26,5,31,1,0.000
CHEMBL299590,7,0,0,0,0,1,0,2,267.345,0.504,544.236,194.019,0.084,303.116,47.017,935.117,0.000,0.000,0.0002718,0.0000000,0.8497442,33.522,8.704,10.736,2.887,5.954,-7.564,-5.649,-5.409,9887.842,0.618,10000.000,-0.357,8.211,0.625,0,1.290,1,100.000,47.017,0.000,2.177,1,1,15,0,15,0,20,1,0.003
CHEMBL556312,1,1,0,0,0,3,0,1,408.518,8.054,728.667,313.363,84.497,283.765,47.042,1315.742,1.000,4.000,0.0493018,0.0054895,0.7969235,47.286,13.014,20.067,8.737,5.275,-6.575,-5.855,-6.897,390.404,0.010,358.428,-3.852,8.028,0.168,2,1.294,1,91.254,47.042,0.000,54.234,5,1,26,0,26,9,30,1,0.000
CHEMBL55835,1,1,0,1,0,5,0,-2,480.993,5.782,830.177,338.497,184.772,235.368,71.541,1491.422,2.000,6.000,0.0224165,0.0102210,0.7604334,52.570,16.263,24.431,12.336,3.341,-7.969,-6.582,-5.450,11.072,-1.294,13.200,-5.678,8.253,0.652,3,1.043,1,65.198,0.000,0.000,103.842,7,0,26,0,26,7,34,2,0.000
CHEMBL298978,1,1,1,0,0,4,1,2,422.562,4.125,750.266,283.948,34.003,321.650,110.665,1343.908,0.800,4.000,0.0126601,0.0047686,0.7849877,48.133,13.638,19.617,8.212,6.123,-7.107,-6.291,-7.271,1175.838,0.625,2633.220,-4.754,8.313,0.726,3,1.339,1,100.000,47.014,0.000,25.545,4,1,26,0,26,7,30,1,0.000
CHEMBL53871,2,0,0,0,0,4,0,1,331.817,4.243,595.039,211.453,18.772,246.335,118.478,1049.042,1.000,0.750,0.0171574,0.0012604,0.8391032,35.613,10.243,13.807,4.317,6.140,-6.690,-6.520,-5.310,6574.837,0.435,10000.000,-0.614,8.232,0.720,1,1.163,1,100.000,47.011,0.000,18.283,2,1,15,0,15,0,23,1,0.016
CHEMBL300927,1,1,0,1,0,4,0,-1,466.966,4.549,749.050,266.825,178.334,236.652,67.238,1397.092,2.000,6.000,0.0148091,0.0113281,0.8068717,49.449,15.068,23.416,12.325,2.805,-6.686,-6.297,-4.704,12.743,-0.940,14.555,-5.651,8.429,1.126,2,0.860,1,63.148,0.000,0.000,98.643,7,0,26,0,26,7,33,2,0.000
CHEMBL301992,1,0,0,0,0,1,0,1,287.720,6.544,526.030,82.081,48.186,277.212,118.550,887.189,0.000,2.000,0.0482729,0.0000000,0.8488519,31.357,8.884,12.254,4.989,4.511,-5.481,-5.155,-5.300,3458.986,0.348,8439.327,-1.335,8.610,1.014,0,0.616,3,100.000,47.015,0.000,30.944,2,0,15,0,15,0,20,0,0.043
CHEMBL52348,5,0,0,0,0,2,0,2,287.764,2.807,557.453,159.134,0.076,279.670,118.574,944.552,0.000,0.000,0.0083443,0.0000000,0.8351682,33.034,9.086,10.914,2.564,6.266,-7.656,-6.083,-5.533,9889.690,0.733,10000.000,-0.344,8.305,0.741,1,1.275,1,100.000,47.017,0.000,2.163,1,1,15,0,15,0,20,1,0.003
CHEMBL53866,1,0,0,0,0,3,0,1,303.763,2.066,565.983,133.853,37.625,275.946,118.560,961.761,1.000,1.700,0.0044394,0.0030036,0.8325420,33.045,9.716,13.378,5.733,5.090,-5.980,-5.566,-5.558,4356.141,0.312,10000.000,-0.953,8.433,0.803,1,0.773,3,100.000,47.011,0.000,22.542,2,1,15,0,15,0,21,1,0.035
CHEMBL53089,5,0,0,0,0,1,0,2,287.764,2.815,550.176,161.592,0.081,269.944,118.558,936.735,0.000,0.000,0.0084580,0.0000000,0.8415395,33.270,8.961,11.035,2.701,6.174,-7.566,-6.083,-5.383,9888.528,0.793,10000.000,-0.474,8.303,0.739,1,1.295,1,100.000,47.015,0.000,2.169,1,1,15,0,15,0,20,1,0.003
CHEMBL301956,1,1,0,0,0,2,0,2,302.778,3.328,570.062,175.097,1.578,274.823,118.564,977.284,0.000,2.000,0.0113307,0.0000000,0.8354556,34.297,9.389,12.485,4.542,4.933,-4.944,-4.426,-6.231,2386.910,1.117,6253.455,-2.451,8.279,0.741,2,0.835,3,100.000,47.011,0.000,7.816,2,0,15,0,15,0,21,0,0.012
CHEMBL53321,0,0,0,0,0,2,0,1,301.747,6.391,557.499,125.106,37.256,276.591,118.547,945.899,0.000,2.000,0.0431795,0.0000000,0.8358936,33.058,9.342,12.662,4.766,5.010,-5.926,-5.452,-5.506,4391.424,0.378,10000.000,-1.040,8.604,1.011,1,0.744,3,100.000,47.013,0.000,29.143,2,1,15,0,15,0,21,1,0.033
CHEMBL52794,1,0,0,0,0,2,0,1,289.736,1.969,533.356,95.525,43.965,275.302,118.564,902.790,1.000,1.700,0.0042963,0.0031874,0.8469785,31.321,9.217,12.871,5.914,4.669,-5.542,-5.274,-5.321,3792.992,0.325,9325.168,-1.168,8.430,0.798,1,0.653,3,100.000,47.018,0.000,23.283,2,0,15,0,15,0,20,0,0.056
CHEMBL12780,1,1,0,0,0,3,0,1,406.502,5.829,739.831,294.262,83.887,314.670,47.013,1315.106,1.000,4.000,0.0258405,0.0054066,0.7846440,47.555,13.265,19.830,8.970,5.307,-6.778,-5.943,-7.243,395.642,-0.012,363.493,-3.732,8.188,0.639,2,1.288,1,91.548,47.013,0.000,53.329,5,1,26,0,26,7,30,1,0.000
CHEMBL300907,5,0,0,0,0,1,0,2,273.737,2.815,524.595,125.958,0.082,279.990,118.565,883.890,0.000,0.000,0.0089674,0.0000000,0.8490630,31.251,8.533,10.365,2.708,5.841,-7.016,-5.785,-5.310,9888.422,0.793,10000.000,-0.439,8.301,0.737,1,1.141,1,100.000,47.014,0.000,2.171,1,1,15,0,15,0,19,1,0.010
CHEMBL415944,2,1,0,0,0,5,1,0,495.020,6.201,877.182,434.646,136.920,234.064,71.553,1569.812,1.000,6.000,0.0244981,0.0068401,0.7446869,55.695,16.567,23.796,10.650,5.691,-8.259,-6.951,-7.506,124.276,-0.810,141.688,-4.801,8.237,0.645,3,1.470,1,84.792,0.000,0.000,89.915,7,1,26,0,26,7,35,1,0.000
CHEMBL52627,0,1,0,0,0,4,0,-2,467.582,7.750,795.085,354.384,205.767,234.206,0.729,1424.992,2.000,10.450,0.0421525,0.0185874,0.7702405,50.542,15.209,26.209,16.966,2.053,-6.000,-5.257,-7.093,27.638,-1.590,11.420,-6.165,8.533,0.831,4,0.226,2,64.768,0.000,0.000,111.271,7,0,25,0,25,11,33,1,0.000
CHEMBL52832,1,1,0,0,0,12,0,-1,473.654,3.670,869.424,344.124,95.746,429.555,0.000,1597.865,3.000,5.200,0.0084281,0.0103593,0.7602562,54.190,17.721,25.147,12.253,6.060,-6.628,-6.635,-8.186,305.382,-0.866,151.847,-2.681,9.096,-0.008,6,1.251,1,93.946,0.000,0.000,59.957,4,1,24,0,24,5,35,1,0.000
CHEMBL52999,1,1,0,0,0,4,1,1,480.993,4.601,797.146,363.466,128.932,236.775,67.972,1473.674,1.000,6.000,0.0143624,0.0075269,0.7856484,52.515,15.294,22.714,10.641,5.139,-6.958,-6.661,-6.856,147.959,-0.505,163.532,-4.740,8.417,1.108,2,1.263,1,82.916,0.000,0.000,84.350,7,1,26,0,26,7,34,1,0.000
CHEMBL273235,1,1,0,0,0,0,0,2,328.816,2.521,596.516,179.097,29.334,269.532,118.553,1033.767,1.000,1.500,0.0061476,0.0025146,0.8288792,37.791,10.314,15.008,6.171,5.158,-5.883,-5.153,-6.312,1302.033,0.968,3247.548,-3.173,8.316,0.738,1,1.142,3,100.000,47.013,0.000,17.614,2,1,21,0,21,5,23,1,0.000
CHEMBL368895,3,1,0,0,0,4,0,1,539.635,6.198,843.475,226.065,121.238,496.173,0.000,1625.432,1.000,6.000,0.0236359,0.0071134,0.7926323,61.066,17.906,25.977,12.441,6.208,-7.498,-8.747,-7.980,175.026,-0.566,83.198,-3.685,8.196,1.370,1,1.686,1,77.525,0.000,0.000,95.729,7,2,33,0,33,0,41,1,0.000
CHEMBL180672,0,1,0,0,0,10,0,1,408.927,7.062,701.832,175.200,88.827,373.517,64.288,1294.542,2.000,4.950,0.0385289,0.0099744,0.8184830,42.800,14.414,20.421,10.175,4.714,-5.552,-6.380,-6.977,355.181,-0.367,402.244,-2.943,8.604,0.748,4,0.690,3,100.000,0.000,0.000,62.683,4,0,16,0,16,0,29,0,0.001
